,tweets_id,retweet_count,likes_count
344,829861396166877184,1796,11537
345,829501995190984704,9788,29926
346,829449946868879360,1863,9893
347,829141528400556032,6778,22932
348,829011960981237760,15129,50318
349,828801551087042563,3168,0
350,828770345708580865,5403,24115
351,828708714936930305,10345,34274
352,828650029636317184,1241,8962
353,828409743546925057,1081,6047
354,828408677031882754,1189,7264
355,828381636999917570,2064,11883
356,828376505180889089,995,6989
357,828372645993398273,2728,11879
358,828361771580813312,165,2072
359,828046555563323392,2658,11066
360,828011680017821696,1997,9783
361,827933404142436356,4839,18872
362,827653905312006145,2796,14604
363,827600520311402496,865,7064
364,827324948884643840,2812,14957
365,827199976799354881,2062,10009
366,826958653328592898,4615,20318
367,826848821049180160,9351,34056
368,826615380357632002,3684,0
369,826598799820865537,230,4862
370,826598365270007810,2183,9458
371,826476773533745153,3894,17379
372,826240494070030336,2420,12534
373,826204788643753985,856,4601
